Epoch: 0 | Train Loss: 2.8796871019446333 | Test Loss: 2.8496055629227186 | Train Accuracy: 0.03068735887316744 | Test Accuracy: 0.03668324370960613
Epoch: 1 | Train Loss: 2.676992048387942 | Test Loss: 2.824842264364054 | Train Accuracy: 0.04300063961873884 | Test Accuracy: 0.03989312110038904
Epoch: 2 | Train Loss: 2.5781958258670308 | Test Loss: 2.523846175644424 | Train Accuracy: 0.044369281593548214 | Test Accuracy: 0.04398224388177578
Epoch: 3 | Train Loss: 2.48699572811956 | Test Loss: 2.5115924169729045 | Train Accuracy: 0.04634936352300903 | Test Accuracy: 0.046718249117935096
Epoch: 4 | Train Loss: 2.4193300112434057 | Test Loss: 2.4047728187435276 | Train Accuracy: 0.04963953027744656 | Test Accuracy: 0.047583457082509995
Epoch: 5 | Train Loss: 2.356374399817508 | Test Loss: 2.3881362951718845 | Train Accuracy: 0.05399579562894676 | Test Accuracy: 0.05199923865742736
Epoch: 6 | Train Loss: 2.302548154540684 | Test Loss: 2.352124977897812 | Train Accuracy: 0.0576362069696188 | Test Accuracy: 0.05036260826247079
Epoch: 7 | Train Loss: 2.250161042679911 | Test Loss: 2.232711759242383 | Train Accuracy: 0.06158009544014931 | Test Accuracy: 0.059559601840082105
Epoch: 8 | Train Loss: 2.194720263066499 | Test Loss: 2.1699048582014147 | Train Accuracy: 0.06546740452556507 | Test Accuracy: 0.059908266128092025
Epoch: 9 | Train Loss: 2.169197517892589 | Test Loss: 2.2330104872420593 | Train Accuracy: 0.06561929493656625 | Test Accuracy: 0.0612162664778285
Epoch: 10 | Train Loss: 2.127959273431612 | Test Loss: 2.2002565192652273 | Train Accuracy: 0.06775373329772898 | Test Accuracy: 0.05801831308629487
Epoch: 11 | Train Loss: 2.0938974567081616 | Test Loss: 2.119624967103476 | Train Accuracy: 0.07231948200775229 | Test Accuracy: 0.06011373979540972
Epoch: 12 | Train Loss: 2.0645936766396398 | Test Loss: 2.133561840424171 | Train Accuracy: 0.07233211827342925 | Test Accuracy: 0.06969869357871485
Epoch: 13 | Train Loss: 2.0598979242469952 | Test Loss: 2.076418644779331 | Train Accuracy: 0.07466052371360686 | Test Accuracy: 0.06856676420340171
Epoch: 14 | Train Loss: 2.0281716973885247 | Test Loss: 2.067870637872717 | Train Accuracy: 0.07656838481678911 | Test Accuracy: 0.06929516472986766
Epoch: 15 | Train Loss: 2.006871601809626 | Test Loss: 2.0883821786104977 | Train Accuracy: 0.08010082635218682 | Test Accuracy: 0.07118574849196843
Epoch: 16 | Train Loss: 1.9834688733453336 | Test Loss: 2.063449744339828 | Train Accuracy: 0.0798795935900315 | Test Accuracy: 0.06583216239872215
Epoch: 17 | Train Loss: 1.9665423294772273 | Test Loss: 2.078820125087277 | Train Accuracy: 0.08291522069307773 | Test Accuracy: 0.07220180631502644
Epoch: 18 | Train Loss: 1.972986972850302 | Test Loss: 2.0063463921075337 | Train Accuracy: 0.08533433998894432 | Test Accuracy: 0.0779277015027109
Epoch: 19 | Train Loss: 1.9377751842789028 | Test Loss: 2.017471874153221 | Train Accuracy: 0.08501571518085572 | Test Accuracy: 0.06893887186607162
Epoch: 20 | Train Loss: 1.9146800870480745 | Test Loss: 2.028830748337966 | Train Accuracy: 0.08788268782360398 | Test Accuracy: 0.07696923998358486
Epoch: 21 | Train Loss: 1.9222058381723321 | Test Loss: 2.012531488806337 | Train Accuracy: 0.08805134155504081 | Test Accuracy: 0.07885474973655009
Epoch: 22 | Train Loss: 1.8756319517674653 | Test Loss: 2.034236801849617 | Train Accuracy: 0.09349766952674025 | Test Accuracy: 0.0737905509688042
Epoch: 23 | Train Loss: 1.8851415009602257 | Test Loss: 1.9479901017723502 | Train Accuracy: 0.0920568400103113 | Test Accuracy: 0.08327472336835913
Epoch: 24 | Train Loss: 1.8491980925850247 | Test Loss: 1.9652709738238827 | Train Accuracy: 0.09756641126359286 | Test Accuracy: 0.07906456963046567
Epoch: 25 | Train Loss: 1.8299006599447 | Test Loss: 1.9348437039406745 | Train Accuracy: 0.09731678725422724 | Test Accuracy: 0.08676070064961255
Epoch: 26 | Train Loss: 1.8075943109781847 | Test Loss: 1.9161032123880073 | Train Accuracy: 0.09954988689202329 | Test Accuracy: 0.08296176647910705
Epoch: 27 | Train Loss: 1.779379155324853 | Test Loss: 1.9683071597591861 | Train Accuracy: 0.10359842860666306 | Test Accuracy: 0.08005622393646084
Epoch: 28 | Train Loss: 1.7908345642297163 | Test Loss: 1.9302024120812888 | Train Accuracy: 0.10480462848816229 | Test Accuracy: 0.07888320702445376
Epoch: 29 | Train Loss: 1.7577638289202815 | Test Loss: 1.9521053911565425 | Train Accuracy: 0.10560081081221932 | Test Accuracy: 0.08747914801914614
Epoch: 30 | Train Loss: 1.7626044180082239 | Test Loss: 1.9842365888448863 | Train Accuracy: 0.10846867205818063 | Test Accuracy: 0.08560344347586998
Epoch: 31 | Train Loss: 1.7297708677208943 | Test Loss: 1.9559102359708849 | Train Accuracy: 0.11354545568642409 | Test Accuracy: 0.07769706591472521
Epoch: 32 | Train Loss: 1.7257669192293417 | Test Loss: 1.8523596643091558 | Train Accuracy: 0.11167761849482423 | Test Accuracy: 0.09502180297296126
Epoch: 33 | Train Loss: 1.703406273022942 | Test Loss: 1.9034671049851637 | Train Accuracy: 0.1132475293200949 | Test Accuracy: 0.0897081828379369
Epoch: 34 | Train Loss: 1.6906240997107134 | Test Loss: 1.8293846662227924 | Train Accuracy: 0.1182426064396682 | Test Accuracy: 0.09582653731762708
Epoch: 35 | Train Loss: 1.6813101418640302 | Test Loss: 1.894758443256001 | Train Accuracy: 0.11892360780874024 | Test Accuracy: 0.09226073824114851
Epoch: 36 | Train Loss: 1.6546567756196726 | Test Loss: 1.8765905597707728 | Train Accuracy: 0.11727226861631093 | Test Accuracy: 0.0910355582178294
Epoch: 37 | Train Loss: 1.6439631749754366 | Test Loss: 1.8236334703780792 | Train Accuracy: 0.12160316555072433 | Test Accuracy: 0.10109343924201451
Epoch: 38 | Train Loss: 1.5991768098395804 | Test Loss: 2.0058685698352017 | Train Accuracy: 0.12898868014631065 | Test Accuracy: 0.08698906172271613
